JCC,Name1,Name2,Obsolete
0101,Sapporo,札幌市,
0102,Asahikawa,旭川市,
0103,Otaru,小樽市,
0104,Hakodate,函館市,
0105,Muroran,室蘭市,
0106,Kushiro,釧路市,
0107,Obihiro,帯広市,
0108,Kitami,北見市,
0109,Yubari,夕張市,
0110,Iwamizawa,岩見沢市,
0111,Abashiri,網走市,
0112,Rumoi,留萌市,
0113,Tomakomai,苫小牧市,
0114,Wakkanai,稚内市,
0115,Bibai,美唄市,
0116,Ashibetsu,芦別市,
0117,Ebetsu,江別市,
0118,Akabira,赤平市,
0119,Mombetsu,紋別市,
0120,Shibetsu,士別市,
0121,Nayoro,名寄市,
0122,Mikasa,三笠市,
0123,Nemuro,根室市,
0124,Chitose,千歳市,
0125,Takikawa,滝川市,
0126,Sunagawa,砂川市,
0127,Utashinai,歌志内市,
0128,Fukagawa,深川市,
0129,Furano,富良野市,
0130,Noboribetsu,登別市,
0131,Eniwa,恵庭市,
0132,Kameda,亀田市,"Nov.,30,1973"
0133,Date,伊達市(北海道),
0134,Kitahiroshima,北広島市,
0135,Ishikari,石狩市,
0136,Hokuto,北斗市,
0201,Aomori,青森市,
0202,Hirosaki,弘前市,
0203,Hachinohe,八戸市,
0204,Kuroishi,黒石市,
0205,Goshogawara,五所川原市,
0206,Towada,十和田市,
0207,Misawa,三沢市,
0208,Mutsu,むつ市,
0209,Tsugaru,つがる市,
0210,Hirakawa,平川市,
0301,Morioka,盛岡市,
0302,Kamaishi,釜石市,
0303,Miyako,宮古市,
0304,Ichinoseki,一関市,
0305,Ofunato,大船渡市,
0306,Mizusawa,水沢市,"Feb.19,2006"
0307,Hanamaki,花巻市,
0308,Kitakami,北上市,
0309,Kuji,久慈市,
0310,Tono,遠野市,
0311,Rikuzentakata,陸前高田市,
0312,Esashi,江刺市,"Feb.19,2006"
0313,Ninohe,二戸市,
0314,Hachimantai,八幡平市,
0315,Oshu,奥州市,
0316,Takizawa,滝沢市,
0401,Akita,秋田市,
0402,Noshiro,能代市,
0403,Odate,大館市,
0404,Yokote,横手市,
0405,Honjo,本荘市,"Mar.21,2005"
0406,Oga,男鹿市,
0407,Yuzawa,湯沢市,
0408,Omagari,大曲市,"Mar.21,2005"
0409,Kazuno,鹿角市,
0410,Yurihonjo,由利本荘市,
0411,Katagami,潟上市,
0412,Daisen,大仙市,
0413,Kitaakita,北秋田市,
0414,Nikaho,にかほ市,
0415,Senboku,仙北市,
0501,Yamagata,山形市,
0502,Yonezawa,米沢市,
0503,Tsuruoka,鶴岡市,
0504,Sakata,酒田市,
0505,Shinjo,新庄市,
0506,Sagae,寒河江市,
0507,Kaminoyama,上山市,
0508,Murayama,村山市,
0509,Nagai,長井市,
0510,Tendo,天童市,
0511,Higashine,東根市,
0512,Obanazawa,尾花沢市,
0513,Nan'yo,南陽市,
0601,Sendai,仙台市,
0602,Ishinomaki,石巻市,
0603,Shiogama,塩竈市,
0604,Furukawa,古川市,"Mar.30,2006"
0605,Kesennuma,気仙沼市,
0606,Shiroishi,白石市,
0607,Natori,名取市,
0608,Kakuda,角田市,
0609,Tagajo,多賀城市,
0610,Izumi,泉市,"Feb.29,1988"
0611,Iwanuma,岩沼市,
0612,Tome,登米市,
0613,Kurihara,栗原市,
0614,Higashimatsushima,東松島市,
0615,Osaki,大崎市,
0616,Tomiya,富谷市,
0701,Fukushima,福島市,
0702,Aizuwakamatsu,会津若松市,
0703,Koriyama,郡山市,
0704,Taira,平市,"Sep.30,1966"
0705,Shirakawa,白河市,
0706,Haramachi,原町市,"Dec.31,2005"
0707,Sukagawa,須賀川市,
0708,Kitakata,喜多方市,
0709,Joban,常磐市,"Sep.30,1966"
0710,Iwaki,磐城市,"Sep.30,1966"
0711,Soma,相馬市,
0712,Uchigo,内郷市,"Sep.30,1966"
0713,Nakoso,勿来市,"Sep.30,1966"
0714,Nihonmatsu,二本松市,
0715,Iwaki,いわき市,
0716,Wakamatsu,若松市,"Dec.31,1954"
0717,Tamura,田村市,
0718,Minamisoma,南相馬市,
0719,Date,伊達市(福島),
0720,Motomiya,本宮市,
0801,Niigata,新潟市,
0802,Nagaoka,長岡市,
0803,Takada,高田市,"Apr.28,1971"
0804,Sanjo,三条市,
0805,Kashiwazaki,柏崎市,
0806,Shibata,新発田市,
0807,Niitsu,新津市,"Mar.20,2005"
0808,Ojiya,小千谷市,
0809,Kamo,加茂市,
0810,Tokamachi,十日町市,
0811,Mitsuke,見附市,
0812,Murakami,村上市,
0813,Tsubame,燕市,
0814,Naoetsu,直江津市,"Apr.28,1971"
0815,Tochio,栃尾市,"Dec.31,2005"
0816,Itoigawa,糸魚川市,
0817,Arai,新井市,"Mar.31,2005"
0818,Gosen,五泉市,
0819,Ryotsu,両津市,"Feb.29,2004"
0820,Shirone,白根市,"Mar.20,2005"
0821,Toyosaka,豊栄市,"Mar.20,2005"
0822,Joetsu,上越市,
0823,Agano,阿賀野市,
0824,Sado,佐渡市,
0825,Uonuma,魚沼市,
0826,Minamiuonuma,南魚沼市,
0827,Myoko,妙高市,
0828,Tainai,胎内市,
0901,Nagano,長野市,
0902,Matsumoto,松本市,
0903,Ueda,上田市,
0904,Okaya,岡谷市,
0905,Iida,飯田市,
0906,Suwa,諏訪市,
0907,Suzaka,須坂市,
0908,Komoro,小諸市,
0909,Ina,伊那市,
0910,Komagane,駒ヶ根市,
0911,Nakano,中野市,
0912,Omachi,大町市,
0913,Iiyama,飯山市,
0914,Chino,茅野市,
0915,Shiojiri,塩尻市,
0916,Shinonoi,篠ノ井市,"Oct.15,1966"
0917,Koshoku,更埴市,"Aug.31,2003"
0918,Saku,佐久市,
0919,Chikuma,千曲市,
0920,Toumi,東御市,
0921,Azumino,安曇野市,
100101,Chiyoda,千代田区,
100102,Chuo,中央区,
100103,Minato,港区,
100104,Shinjuku,新宿区,
100105,Bunkyo,文京区,
100106,Taito,台東区,
100107,Sumida,墨田区,
100108,Koto,江東区,
100109,Shinagawa,品川区,
100110,Meguro,目黒区,
100111,Ota,大田区,
100112,Setagaya,世田谷区,
100113,Shibuya,渋谷区,
100114,Nakano,中野区,
100115,Suginami,杉並区,
100116,Toshima,豊島区,
100117,Kita,北区,
100118,Arakawa,荒川区,
100119,Itabashi,板橋区,
100120,Nerima,練馬区,
100121,Adachi,足立区,
100122,Katsushika,葛飾区,
100123,Edogawa,江戸川区,
1001,Tokyo-23-wards,東京23区市,"Mar.31,2010"
1002,Hachioji,八王子市,
1003,Tachikawa,立川市,
1004,Musashino,武蔵野市,
1005,Mitaka,三鷹市,
1006,Ome,青梅市,
1007,Fuchu,府中市(東京),
1008,Akishima,昭島市,
1009,Chofu,調布市,
1010,Machida,町田市,
1011,Koganei,小金井市,
1012,Kodaira,小平市,
1013,Hino,日野市,
1014,Higashimurayama,東村山市,
1015,Kokubunji,国分寺市,
1016,Kunitachi,国立市,
1017,Hoya,保谷市,"Jan.20,2001"
1018,Tanashi,田無　市,"Jan.20,2001"
1019,Fussa,福生市,
1020,Komae,狛江市,
1021,Higashiyamato,東大和市,
1022,Kiyose,清瀬市,
1023,Higashikurume,東久留米市,
1024,Musashimurayama,武蔵村山市,
1025,Tama,多摩市,
1026,Inagi,稲城市,
1027,Akigawa,秋川市,"Aug.31,1995"
1028,Hamura,羽村市,
1029,Akiruno,あきる野市,
1030,Nishitokyo,西東京市,
1101,Yokohama,横浜市,
1102,Yokosuka,横須賀市,
1103,Kawasaki,川崎市,
1104,Hiratsuka,平塚市,
1105,Kamakura,鎌倉市,
1106,Fujisawa,藤沢市,
1107,Odawara,小田原市,
1108,Chigasaki,茅ヶ崎市,
1109,Zushi,逗子市,
1110,Sagamihara,相模原市,
1111,Miura,三浦市,
1112,Hadano,秦野市,
1113,Atsugi,厚木市,
1114,Yamato,大和市,
1115,Isehara,伊勢原市,
1116,Ebina,海老名市,
1117,Zama,座間市,
1118,Minamiashigara,南足柄市,
1119,Ayase,綾瀬市,
1201,Chiba,千葉市,
1202,Choshi,銚子市,
1203,Ichikawa,市川市,
1204,Funabashi,船橋市,
1205,Tateyama,館山市,
1206,Kisarazu,木更津市,
1207,Matsudo,松戸市,
1208,Noda,野田市,
1209,Sawara,佐原市,"Mar.26,2006"
1210,Mobara,茂原市,
1211,Narita,成田市,
1212,Sakura,佐倉市,
1213,Togane,東金市,
1214,Yokaichiba,八日市場市,"Jan.22,2006"
1215,Asahi,旭市,
1216,Narashino,習志野市,
1217,Kashiwa,柏市,
1218,Katsuura,勝浦市,
1219,Ichihara,市原市,
1220,Nagareyama,流山市,
1221,Yachiyo,八千代市,
1222,Abiko,我孫子市,
1223,Kamogawa,鴨川市,
1224,Kimitsu,君津市,
1225,Kamagaya,鎌ケ谷市,
1226,Futtu,富津市,
1227,Urayasu,浦安市,
1228,Yotsukaido,四街道市,
1229,Sodegaura,袖ケ浦市,
1230,Yachimata,八街市,
1231,Inzai,印西市,
1232,Shiroi,白井市,
1233,Tomisato,富里市,
1234,Minamiboso,南房総市,
1235,Sosa,匝瑳市,
1236,Katori,香取市,
1237,Sanmu,山武市,
1238,Isumi,いすみ市,
1239,Oamishirasato,大網白里市,
1301,Urawa,浦和市,"Apr.30,2001"
1302,Kawagoe,川越市,
1303,Kumagaya,熊谷市,
1304,Kawaguchi,川口市,
1305,Omiya,大宮市,"Apr.30,2001"
1306,Gyoda,行田市,
1307,Chichibu,秩父市,
1308,Tokorozawa,所沢市,
1309,Hanno,飯能市,
1310,Kazo,加須市,
1311,Honjo,本庄市,
1312,Higashimatsuyama,東松山市,
1313,Iwatsuki,岩槻市,"Mar.31,2005"
1314,Kasukabe,春日部市,
1315,Sayama,狭山市,
1316,Hanyu,羽生市,
1317,Konosu,鴻巣市,
1318,Fukaya,深谷市,
1319,Ageo,上尾市,
1320,Yono,与野市,"Apr.30,2001"
1321,Soka,草加市,
1322,Koshigaya,越谷市,
1323,Warabi,蕨市,
1324,Toda,戸田市,
1325,Iruma,入間市,
1326,Hatogaya,鳩ヶ谷市,"Oct.10,2011"
1327,Asaka,朝霞市,
1328,Shiki,志木市,
1329,Wako,和光市,
1330,Niiza,新座市,
1331,Okegawa,桶川市,
1332,Kuki,久喜市,
1333,Kitamoto,北本市,
1334,Yashio,八潮市,
1335,Kamifukuoka,上福岡市,"Sep.30,2005"
1336,Fujimi,富士見市,
1337,Misato,三郷市,
1338,Hasuda,蓮田市,
1339,Sakado,坂戸市,
1340,Satte,幸手市,
1341,Tsurugashima,鶴ヶ島市,
1342,Hidaka,日高市,
1343,Yoshikawa,吉川市,
1344,Saitama,さいたま市,
1345,Fujimino,ふじみ野市,
1346,Shiraoka,白岡市,
1401,Mito,水戸市,
1402,Hitachi,日立市,
1403,Tsuchiura,土浦市,
1404,Koga,古河市,
1405,Ishioka,石岡市,
1406,Shimodate,下館市,"Mar.27,2005"
1407,Yuki,結城市,
1408,Ryugasaki,龍ケ崎市,
1409,Nakaminato,那珂湊市,"Oct.31,1994"
1410,Shimotsuma,下妻市,
1411,Mitsukaido,水海道市,"Dec.31,2005"
1412,Hitachiota,常陸太田市,
1413,Katsuta,勝田市,"Oct.31,1994"
1414,Takahagi,高萩市,
1415,Kitaibaraki,北茨城市,
1416,Kasama,笠間市,
1417,Toride,取手市,
1418,Iwai,岩井市,"Mar.21,2005"
1419,Ushiku,牛久市,
1420,Tsukuba,つくば市,
1421,Hitachinaka,ひたちなか市,
1422,Kashima,鹿嶋市,
1423,Itako,潮来市,
1424,Moriya,守谷市,
1425,Hitachiomiya,常陸大宮市,
1426,Naka,那珂市,
1427,Chikusei,筑西市,
1428,Bandou,坂東市,
1429,Inashiki,稲敷市,
1430,Kasumigaura,かすみがうら市,
1431,Sakuragawa,桜川市,
1432,Kamisu,神栖市,
1433,Namegata,行方市,
1434,Hokota,鉾田市,
1435,Joso,常総市,
1436,Tsukubamirai,つくばみらい市,
1437,Omitama,小美玉市,
1501,Utsunomiya,宇都宮市,
1502,Ashikaga,足利市,
