"muniCd","Pref","City","JCCCd","WDCd","JCC_text","JCGCd","JCG_text","hamlogCd"
"1100","北海道","札幌市","0101",,"札幌市",,,
"1101","北海道","札幌市 中央区","0101","010101","札幌市",,,
"1102","北海道","札幌市 北区","0101","010102","札幌市",,,
"1103","北海道","札幌市 東区","0101","010103","札幌市",,,
"1104","北海道","札幌市 白石区","0101","010104","札幌市",,,
"1105","北海道","札幌市 豊平区","0101","010105","札幌市",,,
"1106","北海道","札幌市 南区","0101","010106","札幌市",,,
"1107","北海道","札幌市 西区","0101","010107","札幌市",,,
"1108","北海道","札幌市 厚別区","0101","010108","札幌市",,,
"1109","北海道","札幌市 手稲区","0101","010109","札幌市",,,
"1110","北海道","札幌市 清田区","0101","010110","札幌市",,,
"1202","北海道","函館市","0104",,"函館市",,,
"1203","北海道","小樽市","0103",,"小樽市",,,
"1204","北海道","旭川市","0102",,"旭川市",,,
"1205","北海道","室蘭市","0105",,"室蘭市",,,
"1206","北海道","釧路市","0106",,"釧路市",,,
"1207","北海道","帯広市","0107",,"帯広市",,,
"1208","北海道","北見市","0108",,"北見市",,,
"1209","北海道","夕張市","0109",,"夕張市",,,
"1210","北海道","岩見沢市","0110",,"岩見沢市",,,
"1211","北海道","網走市","0111",,"網走市",,,
"1212","北海道","留萌市","0112",,"留萌市",,,
"1213","北海道","苫小牧市","0113",,"苫小牧市",,,
"1214","北海道","稚内市","0114",,"稚内市",,,
"1215","北海道","美唄市","0115",,"美唄市",,,
"1216","北海道","芦別市","0116",,"芦別市",,,
"1217","北海道","江別市","0117",,"江別市",,,
"1218","北海道","赤平市","0118",,"赤平市",,,
"1219","北海道","紋別市","0119",,"紋別市",,,
"1220","北海道","士別市","0120",,"士別市",,,
"1221","北海道","名寄市","0121",,"名寄市",,,
"1222","北海道","三笠市","0122",,"三笠市",,,
"1223","北海道","根室市","0123",,"根室市",,,
"1224","北海道","千歳市","0124",,"千歳市",,,
"1225","北海道","滝川市","0125",,"滝川市",,,
"1226","北海道","砂川市","0126",,"砂川市",,,
"1227","北海道","歌志内市","0127",,"歌志内市",,,
"1228","北海道","深川市","0128",,"深川市",,,
"1229","北海道","富良野市","0129",,"富良野市",,,
"1230","北海道","登別市","0130",,"登別市",,,
"1231","北海道","恵庭市","0131",,"恵庭市",,,
"1233","北海道","伊達市","0133",,"伊達市",,,
"1234","北海道","北広島市","0134",,"北広島市",,,
"1235","北海道","石狩市","0135",,"石狩市",,,
"1236","北海道","北斗市","0136",,"北斗市",,,
"1303","北海道","当別町",,,,"01008","石狩郡","C"
"1304","北海道","新篠津村",,,,"01008","石狩郡","B"
"1331","北海道","松前町",,,,"01067","松前郡","B"
"1332","北海道","福島町",,,,"01067","松前郡","A"
"1333","北海道","知内町",,,,"01021","上磯郡","C"
"1334","北海道","木古内町",,,,"01021","上磯郡","B"
"1337","北海道","七飯町",,,,"01024","亀田郡","E"
"1343","北海道","鹿部町",,,,"01025","茅部郡","B"
"1345","北海道","森町",,,,"01025","茅部郡","D"
"1346","北海道","八雲町",,,,"01079","二海郡","A"
