当別町・新篠津村,石狩,01008
松前町(北海道)・福島町,松前,01067
知内町・木古内町,上磯,01021
七飯町,亀田,01024
鹿部町・森町(北海道),茅部,01025
八雲町,二海,01079
長万部町,山越,01071
江差町・上ノ国町・厚沢部町,檜山,01059
乙部町,爾志,01053
奥尻町,奥尻,01016
今金町,瀬棚,01040
せたな町,久遠,01028
島牧村,島牧,01034
寿都町・黒松内町,寿都,01039
蘭越町,磯谷,01009
豊浦町・洞爺湖町・ニセコ町・真狩村・留寿都村・喜茂別町・京極町・倶知安町,虻田,35003
共和町・岩内町,岩内,01010
泊村・神恵内村,古宇,01062
積丹町,積丹,01035
古平町,古平,01063
仁木町・余市町・赤井川村,余市,01075
南幌町・奈井江町・上砂川町・上富良野町・中富良野町・南富良野町,空知,44005
由仁町・長沼町・栗山町,夕張,01072
月形町・浦臼町・新十津川町,樺戸,01020
妹背牛町・秩父別町・雨竜町・北竜町・沼田町・幌加内町,雨竜,38002
鷹栖町・東神楽町・当麻町・比布町・愛別町・上川町・東川町・美瑛町,上川,09003
厚真町・安平町・むかわ町・占冠村,勇払,01055
和寒町・剣淵町・下川町,上川,09003
美深町・音威子府村・中川町,中川,28004
増毛町,増毛,01066
小平町,留萌,01077
苫前町・羽幌町・初山別村,苫前,01049
遠別町・天塩町・豊富町・幌延町,天塩,22010
猿払村,宗谷,01041
浜頓別町・中頓別町・枝幸町,枝幸,01015
礼文町,礼文,01078
利尻町・利尻富士町,利尻,01076
美幌町・津別町・大空町,網走,01005
斜里町・清里町・小清水町,斜里,01036
訓子府町・置戸町・佐呂間町,常呂,01048
遠軽町・湧別町・滝上町・興部町・西興部村・雄武町,紋別,01070
壮瞥町,有珠,01011
白老町,白老,01037
日高町(北海道)・平取町,沙流,01031
新冠町,新冠,01052
浦河町,浦河,01013
様似町,様似,01030
えりも町,幌泉,01064
新ひだか町,日高,26007
音更町・士幌町・上士幌町・鹿追町,河東,01019
新得町・清水町(北海道),上川,09003
芽室町・中札内村・更別村,河西,01018
大樹町・広尾町,広尾,01060
幕別町・池田町(北海道)・豊頃町・本別町,中川,28004
足寄町・陸別町,足寄町,01002
